# zone_id,lifecycle
GW,700.00
GY,657.45
HK,594.32
HN,343.35
HR,228.01
HT,522.71
HU,242.71
ID,645.90
IE,397.12
IL,491.66
IN,654.04
IN-EA,740.75
IN-NE,466.31
IN-NO,570.59
IN-SO,532.20
IN-WE,733.55
IQ,562.62
IR,495.26
IS,28.16
IT,274.00
IT-CNO,261.92
IT-CSO,301.70
IT-NO,244.49
IT-SAR,523.87
IT-SIC,315.31
IT-SO,299.22
JM,487.09
JO,382.66
JP,457.07
JP-CB,479.36
JP-CG,469.79
JP-HKD,459.57
JP-HR,450.58
JP-KN,360.81
JP-KY,308.61
JP-ON,593.07
JP-SK,369.57
JP-TH,477.68
JP-TK,538.62
KE,95.26
KG,126.05
KH,273.49
KM,700.00
KP,299.97
KR,422.73
KW,515.00
KY,681.09
KZ,595.74
LA,202.26
LB,307.13
LC,683.27
LK,404.88
LR,472.11
LS,24.00
LT,164.77
LU,251.80
LV,182.71
LY,526.52
MA,526.16
MD,419.36
ME,400.43
MG,475.34
MK,481.58
ML,413.69
MM,335.86
MN,745.84
MO,395.30
MQ,578.57
MR,518.48
MT,426.35
MU,602.66
MV,652.08
MW,59.78
MX,391.68
MY,567.94
MY-EM,385.43
MY-WM,644.72
MZ,100.62
NA,43.00
NC,543.05
NE,658.41
NG,373.76
NI,311.15
NL,263.11
NO,33.32
NO-NO1,26.68
NO-NO2,34.37
NO-NO3,28.71
NO-NO4,55.31
NO-NO5,26.34
NP,108.54
NZ,112.17
OM,478.82
PA,166.93
PE,186.17
PF,367.80
PG,513.17
PH,623.85
PH-LU,642.05
PH-MI,562.74
PH-VI,594.21
PK,260.47
PL,703.46
PM,700.00
PR,360.17
PS,452.18
PT,100.98
PT-MA,675.41
PW,608.09
PY,25.36
QA,490.00
RE,471.19
RO,321.35
RS,511.22
RU-1,357.00
RU-2,390.95
RU-AS,449.09
RW,335.22
SA,551.54
SB,631.58
SC,603.35
SD,184.54
SE,22.60
SE-SE1,15.27
SE-SE2,15.73
SE-SE3,20.42
SE-SE4,39.52
SG,484.76
SI,233.62
SK,239.73
SL,55.11
SN,575.01
SO,565.38
SR,380.06
SS,596.54
ST,622.91
SV,247.79
SY,563.78
SZ,105.91
TD,637.48
TG,395.97
TH,490.07
TJ,82.79
TL,649.28
TM,489.93
TN,481.76
TO,604.51
TR,422.97
TT,490.31
TW,525.06
TZ,361.28
UG,59.97
US,403.65
US-AK,505.46
US-AK-SEAPA,28.96
US-CAL-BANC,271.74
US-CAL-CISO,231.29
US-CAL-IID,504.12
US-CAL-LDWP,382.92
US-CAL-TIDC,403.91
US-CAR-CPLE,341.63
US-CAR-CPLW,480.52
US-CAR-DUK,304.05
US-CAR-SC,659.62
US-CAR-SCEG,455.94
US-CENT-SPA,122.41
US-CENT-SWPP,427.55
US-FLA-FMPP,536.06
US-FLA-FPC,503.17
US-FLA-FPL,370.82
US-FLA-GVL,573.34
US-FLA-HST,372.63
US-FLA-JEA,613.14
US-FLA-SEC,590.80
US-FLA-TAL,461.58
US-FLA-TEC,468.57
US-HI,827.41
US-MIDA-PJM,400.33
US-MIDW-AECI,616.00
US-MIDW-LGEE,856.38
US-MIDW-MISO,485.43
US-NE-ISNE,298.19
US-NW-AVA,216.20
US-NW-BPAT,106.65
US-NW-CHPD,27.25
US-NW-DOPD,33.67
US-NW-GCPD,53.02
US-NW-GRID,490.91
US-NW-IPCO,306.55
US-NW-NEVP,440.62
US-NW-NWMT,532.95
US-NW-PACE,610.00
US-NW-PACW,194.17
US-NW-PGE,217.66
US-NW-PSCO,455.52
US-NW-PSEI,178.17
US-NW-SCL,80.75
US-NW-TPWR,75.61
US-NW-WACM,645.86
US-NW-WAUW,274.80
US-NY-NYIS,297.49
US-SE-SEPA,526.94
US-SE-SOCO,421.35
US-SW-AZPS,447.93
US-SW-EPE,541.00
US-SW-PNM,349.80
US-SW-SRP,305.66
US-SW-TEPC,602.00
US-SW-WALC,330.55
US-TEN-TVA,376.03
US-TEX-ERCO,369.89
UY,52.53
UZ,471.70
VC,610.23
VE,126.07
VI,679.81
VN,442.29
VU,532.66
WS,451.70
XK,652.50
YE,522.35
YT,570.71
ZA,712.78
ZM,118.67
ZW,257.78
