# Per-1k-output-token impact coefficients sourced from the EcoLogits public API.
# Regenerated by com.digitalpebble.spruce.modules.ecologits.EcoLogitsCoefficientsGenerator
# source_api_version=v1beta
# generated_at=2026-08-22T08:03:20.587788516Z
provider,model_name,energy_kwh,gwp_embodied_kgco2eq,adpe_embodied_kgsbeq
huggingface_hub,google/codegemma-7b-it-keras,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-7b-it-pytorch,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-7b-keras,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-7b-pytorch,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-1.1-2b-it,4.783278e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-1.1-2b-it-GGUF,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-1.1-2b-it-keras,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-1.1-2b-it-pytorch,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-1.1-2b-it-tflite,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-1.1-7b-it,5.174704e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-1.1-7b-it-GGUF,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-1.1-7b-it-keras,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-1.1-7b-it-pytorch,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2-27b,6.387931e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2-27b-it,6.387931e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2-27b-it-pytorch,6.373001e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2-27b-pytorch,6.373001e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2-2b,4.789769e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2-2b-it,4.789769e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2-2b-it-pytorch,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2-2b-pytorch,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2-9b,5.220143e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2-9b-it,5.220143e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2-9b-it-pytorch,5.204564e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2-9b-keras,5.204564e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2-9b-pytorch,5.204564e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2-instruct-9b-keras,5.204564e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2b,4.783278e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2b-GGUF,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2b-cpp,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2b-flax,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2b-it,4.783278e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2b-it-GGUF,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2b-it-cpp,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2b-it-flax,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2b-it-keras,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2b-it-pytorch,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2b-it-sfp-cpp,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2b-it-tflite,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2b-keras,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2b-pytorch,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-2b-sfp-cpp,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-7b,5.174704e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-7b-GGUF,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-7b-cpp,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-7b-flax,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-7b-it,5.174704e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-7b-it-GGUF,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-7b-it-cpp,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-7b-it-flax,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-7b-it-keras,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-7b-it-pytorch,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-7b-it-quant-pytorch,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-7b-it-sfp-cpp,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-7b-keras,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-7b-pytorch,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-7b-quant-pytorch,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/gemma-7b-sfp-cpp,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/CodeLlama-13b-Instruct-hf,5.464217e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/CodeLlama-13b-Python-hf,5.464217e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/CodeLlama-13b-hf,5.464217e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/CodeLlama-34b-Instruct-hf,1.365479e-04,3.255208e-11,1.823313e-15
huggingface_hub,meta-llama/CodeLlama-34b-Python-hf,1.365479e-04,3.255208e-11,1.823313e-15
huggingface_hub,meta-llama/CodeLlama-34b-hf,1.365479e-04,3.255208e-11,1.823313e-15
huggingface_hub,meta-llama/CodeLlama-70b-Instruct-hf,3.665707e-04,6.510417e-11,3.646626e-15
huggingface_hub,meta-llama/CodeLlama-70b-Python-hf,3.665707e-04,6.510417e-11,3.646626e-15
huggingface_hub,meta-llama/CodeLlama-70b-hf,3.665707e-04,6.510417e-11,3.646626e-15
huggingface_hub,meta-llama/CodeLlama-7b-Instruct-hf,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/CodeLlama-7b-Python-hf,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/CodeLlama-7b-hf,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/Llama-2-13b,5.464217e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/Llama-2-13b-chat,5.464217e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/Llama-2-13b-chat-hf,5.465515e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/Llama-2-13b-hf,5.465515e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/Llama-2-70b,3.665707e-04,6.510417e-11,3.646626e-15
huggingface_hub,meta-llama/Llama-2-70b-chat,3.665707e-04,6.510417e-11,3.646626e-15
huggingface_hub,meta-llama/Llama-2-70b-chat-hf,3.639223e-04,6.510417e-11,3.646626e-15
huggingface_hub,meta-llama/Llama-2-70b-hf,3.639223e-04,6.510417e-11,3.646626e-15
huggingface_hub,meta-llama/Llama-2-7b,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/Llama-2-7b-chat,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/Llama-2-7b-chat-hf,5.057860e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/Llama-2-7b-hf,5.057860e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/Llama-Guard-3-8B,5.141598e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/Llama-Guard-3-8B-INT8,5.141598e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/LlamaGuard-7b,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/Meta-Llama-3-70B,3.679988e-04,6.510417e-11,3.646626e-15
huggingface_hub,meta-llama/Meta-Llama-3-70B-Instruct,3.679988e-04,6.510417e-11,3.646626e-15
huggingface_hub,meta-llama/Meta-Llama-3-8B,5.141598e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/Meta-Llama-3-8B-Instruct,5.141598e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/Meta-Llama-3.1-405B,4.954458e-03,2.604167e-10,1.458650e-14
huggingface_hub,meta-llama/Meta-Llama-3.1-405B-FP8,4.954665e-03,2.604167e-10,1.458650e-14
huggingface_hub,meta-llama/Meta-Llama-3.1-405B-Instruct,4.954458e-03,2.604167e-10,1.458650e-14
huggingface_hub,meta-llama/Meta-Llama-3.1-405B-Instruct-FP8,4.954665e-03,2.604167e-10,1.458650e-14
huggingface_hub,meta-llama/Meta-Llama-3.1-70B,3.679988e-04,6.510417e-11,3.646626e-15
huggingface_hub,meta-llama/Meta-Llama-3.1-70B-Instruct,3.679988e-04,6.510417e-11,3.646626e-15
huggingface_hub,meta-llama/Meta-Llama-3.1-8B,5.141598e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/Meta-Llama-3.1-8B-Instruct,5.141598e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/Meta-Llama-Guard-2-8B,5.141598e-05,1.627604e-11,9.116565e-16
huggingface_hub,meta-llama/Prompt-Guard-86M,4.638521e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-medium-128k-instruct,5.526534e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-medium-128k-instruct-onnx-cpu,5.526534e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-medium-128k-instruct-onnx-cuda,5.526534e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-medium-128k-instruct-onnx-directml,5.526534e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-medium-4k-instruct,5.526534e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-medium-4k-instruct-onnx-cpu,5.526534e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-medium-4k-instruct-onnx-cuda,5.526534e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-medium-4k-instruct-onnx-directml,5.526534e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-mini-128k-instruct,4.868314e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-mini-128k-instruct-onnx,4.868314e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-mini-4k-instruct,4.868314e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-mini-4k-instruct-gguf,4.868314e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-mini-4k-instruct-onnx,4.868314e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-mini-4k-instruct-onnx-web,4.868314e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-small-128k-instruct,5.100054e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-small-128k-instruct-onnx-cuda,5.100054e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-small-8k-instruct,5.100054e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-small-8k-instruct-onnx-cuda,5.100054e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-vision-128k-instruct,4.889735e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-vision-128k-instruct-onnx-cpu,4.889735e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-vision-128k-instruct-onnx-cuda,4.889735e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/Phi-3-vision-128k-instruct-onnx-directml,4.889735e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/phi-1,4.712522e-05,1.627604e-11,9.116565e-16
huggingface_hub,microsoft/phi-1_5,4.712522e-05,1.627604e-11,9.116565e-16
huggingface_hub,mistral-community/Codestral-22B-v0.1,6.064664e-05,1.627604e-11,9.116565e-16
huggingface_hub,mistral-community/Mistral-7B-Instruct-v0.3,5.090966e-05,1.627604e-11,9.116565e-16
huggingface_hub,mistral-community/Mistral-7B-v0.2,5.090317e-05,1.627604e-11,9.116565e-16
huggingface_hub,mistral-community/Mixtral-8x22B-Instruct-v0.1-4bit,5.726761e-04,1.302083e-10,7.293252e-15
huggingface_hub,mistral-community/Mixtral-8x22B-v0.1,5.726761e-04,1.302083e-10,7.293252e-15
huggingface_hub,mistral-community/Mixtral-8x22B-v0.1-4bit,5.726761e-04,1.302083e-10,7.293252e-15
huggingface_hub,mistral-community/Mixtral-8x22B-v0.1-AWQ,5.726761e-04,1.302083e-10,7.293252e-15
huggingface_hub,mistral-community/Mixtral-8x22B-v0.1-original,5.726761e-04,1.302083e-10,7.293252e-15
huggingface_hub,mistral-community/mixtral-8x22B-Instruct-v0.3-original,5.726761e-04,1.302083e-10,7.293252e-15
huggingface_hub,mistral-community/mixtral-8x22B-v0.3,5.726761e-04,1.302083e-10,7.293252e-15
huggingface_hub,mistral-community/mixtral-8x22B-v0.3-original,5.726761e-04,1.302083e-10,7.293252e-15
huggingface_hub,mistralai/Codestral-22B-v0.1,6.064664e-05,1.627604e-11,9.116565e-16
huggingface_hub,mistralai/Mathstral-7B-v0.1,5.090966e-05,1.627604e-11,9.116565e-16
huggingface_hub,mistralai/Mistral-7B-Instruct-v0.1,5.090317e-05,1.627604e-11,9.116565e-16
huggingface_hub,mistralai/Mistral-7B-Instruct-v0.2,5.090317e-05,1.627604e-11,9.116565e-16
huggingface_hub,mistralai/Mistral-7B-Instruct-v0.3,5.090966e-05,1.627604e-11,9.116565e-16
huggingface_hub,mistralai/Mistral-7B-v0.1,5.090317e-05,1.627604e-11,9.116565e-16
huggingface_hub,mistralai/Mistral-7B-v0.3,5.090966e-05,1.627604e-11,9.116565e-16
huggingface_hub,mistralai/Mistral-Large-Instruct-2407,5.031740e-04,6.510417e-11,3.646626e-15
huggingface_hub,mistralai/Mistral-Nemo-Base-2407,5.415532e-05,1.627604e-11,9.116565e-16
huggingface_hub,mistralai/Mistral-Nemo-Instruct-2407,5.415532e-05,1.627604e-11,9.116565e-16
huggingface_hub,mistralai/Mixtral-8x22B-Instruct-v0.1,5.726761e-04,1.302083e-10,7.293252e-15
huggingface_hub,mistralai/Mixtral-8x22B-v0.1,5.726761e-04,1.302083e-10,7.293252e-15
huggingface_hub,mistralai/Mixtral-8x7B-Instruct-v0.1,1.091545e-04,3.255208e-11,1.823313e-15
huggingface_hub,mistralai/Mixtral-8x7B-v0.1,1.091545e-04,3.255208e-11,1.823313e-15
huggingface_hub,openai/gpt-oss-120b,1.980561e-04,6.510417e-11,3.646626e-15
huggingface_hub,openai/gpt-oss-20b,4.854033e-05,1.627604e-11,9.116565e-16
mistralai,codestral-2405,7.503905e-05,2.879642e-06,1.612950e-10
mistralai,codestral-2411-rc5,7.503905e-05,2.879642e-06,1.612950e-10
mistralai,codestral-2412,8.163065e-05,4.300246e-06,2.408661e-10
mistralai,codestral-2501,7.503905e-05,2.879642e-06,1.612950e-10
mistralai,codestral-2508,7.503905e-05,2.879642e-06,1.612950e-10
mistralai,codestral-latest,7.503905e-05,2.879642e-06,1.612950e-10
mistralai,devstral-2512,5.981285e-04,1.720098e-05,9.634645e-10
mistralai,devstral-latest,5.981285e-04,1.720098e-05,9.634645e-10
mistralai,devstral-medium-latest,5.849181e-04,1.720098e-05,9.634645e-10
mistralai,magistral-medium-2509,5.734368e-04,1.472658e-05,8.248676e-10
mistralai,magistral-medium-latest,5.948538e-04,1.934230e-05,1.083404e-09
mistralai,magistral-small-2509,7.046506e-05,1.694573e-06,9.491673e-11
mistralai,magistral-small-latest,7.638410e-05,2.970229e-06,1.663690e-10
mistralai,ministral-14b-2512,7.216595e-05,3.427738e-06,1.919951e-10
mistralai,ministral-14b-latest,7.216595e-05,3.427738e-06,1.919951e-10
mistralai,ministral-3b-2512,7.093532e-05,4.682850e-06,2.622966e-10
mistralai,ministral-3b-latest,7.093532e-05,4.682850e-06,2.622966e-10
mistralai,ministral-8b-2512,7.029655e-05,3.876124e-06,2.171101e-10
mistralai,ministral-8b-latest,7.029655e-05,3.876124e-06,2.171101e-10
mistralai,mistral-large-2512,5.878771e-04,1.613046e-05,9.035021e-10
mistralai,mistral-large-latest,5.995179e-04,1.863925e-05,1.044025e-09
mistralai,mistral-medium,5.734368e-04,1.472658e-05,8.248676e-10
mistralai,mistral-medium-2505,5.940857e-04,1.917676e-05,1.074132e-09
mistralai,mistral-medium-2508,5.940857e-04,1.917676e-05,1.074132e-09
mistralai,mistral-medium-2604,6.152223e-04,1.917676e-05,1.074132e-09
mistralai,mistral-medium-3,6.152223e-04,1.917676e-05,1.074132e-09
mistralai,mistral-medium-3-5,5.945735e-04,1.472658e-05,8.248676e-10
mistralai,mistral-medium-3.5,5.945735e-04,1.472658e-05,8.248676e-10
mistralai,mistral-medium-latest,5.940857e-04,1.917676e-05,1.074132e-09
mistralai,mistral-small-2506,6.940993e-05,1.467174e-06,8.217964e-11
mistralai,mistral-small-2603,2.364233e-04,5.868698e-06,3.287185e-10
mistralai,mistral-small-latest,2.406438e-04,6.778293e-06,3.796669e-10
mistralai,mistral-tiny-2407,5.969858e-05,1.694573e-06,9.491673e-11
mistralai,mistral-tiny-latest,5.969858e-05,1.694573e-06,9.491673e-11
mistralai,open-mistral-7b,5.969858e-05,1.694573e-06,9.491673e-11
mistralai,open-mistral-nemo,6.462243e-05,2.058216e-06,1.152852e-10
mistralai,open-mistral-nemo-2407,6.462243e-05,2.058216e-06,1.152852e-10
mistralai,pixtral-12b,6.290183e-05,1.715867e-06,9.610942e-11
mistralai,pixtral-12b-2409,7.084491e-05,3.427738e-06,1.919951e-10
mistralai,pixtral-12b-latest,7.365154e-05,4.032615e-06,2.258755e-10
mistralai,voxtral-mini-2507,5.010528e-05,1.627604e-11,9.116565e-16
mistralai,voxtral-mini-2509,5.010528e-05,1.627604e-11,9.116565e-16
mistralai,voxtral-mini-2602,5.010528e-05,1.627604e-11,9.116565e-16
mistralai,voxtral-mini-latest,5.010528e-05,1.627604e-11,9.116565e-16
mistralai,voxtral-small-2507,7.275064e-05,2.087507e-06,1.169258e-10
mistralai,voxtral-small-latest,7.092742e-05,1.694573e-06,9.491673e-11
openai,chat-latest,8.483688e-03,7.660745e-05,4.290950e-09
openai,gpt-3.5-turbo,4.577491e-04,1.497615e-05,8.388466e-10
openai,gpt-3.5-turbo-0125,4.577491e-04,1.497615e-05,8.388466e-10
openai,gpt-3.5-turbo-1106,4.577491e-04,1.497615e-05,8.388466e-10
openai,gpt-3.5-turbo-16k,4.712440e-04,1.778758e-05,9.963210e-10
openai,gpt-3.5-turbo-instruct,4.275025e-04,8.674778e-06,4.858932e-10
openai,gpt-3.5-turbo-instruct-0914,4.275025e-04,8.674778e-06,4.858932e-10
openai,gpt-35-turbo,4.577491e-04,1.497615e-05,8.388466e-10
openai,gpt-35-turbo-0125,4.577491e-04,1.497615e-05,8.388466e-10
openai,gpt-35-turbo-1106,4.577491e-04,1.497615e-05,8.388466e-10
openai,gpt-35-turbo-16k,4.712440e-04,1.778758e-05,9.963210e-10
openai,gpt-35-turbo-instruct,4.275025e-04,8.674778e-06,4.858932e-10
openai,gpt-35-turbo-instruct-0914,4.275025e-04,8.674778e-06,4.858932e-10
openai,gpt-4,2.847725e-02,4.738839e-04,2.654327e-08
openai,gpt-4-0613,2.847725e-02,4.738839e-04,2.654327e-08
openai,gpt-4-turbo,9.035917e-03,3.556463e-04,1.992052e-08
openai,gpt-4-turbo-2024-04-09,9.035917e-03,3.556463e-04,1.992052e-08
openai,gpt-4.1,2.239026e-03,6.291513e-05,3.524014e-09
openai,gpt-4.1-2025-04-14,2.239026e-03,6.291513e-05,3.524014e-09
openai,gpt-4.1-mini,5.936567e-04,1.937485e-05,1.085227e-09
openai,gpt-4.1-mini-2025-04-14,5.761556e-04,1.572878e-05,8.810034e-10
openai,gpt-4.1-nano,2.084501e-04,1.262831e-05,7.073393e-10
openai,gpt-4.1-nano-2025-04-14,1.855833e-04,7.864392e-06,4.405017e-10
