# instance_type, electricity_consumption_kwh, embodied_emissions_gco2eq, embodied_adp_gSbeq
db.m6g.4xlarge, 0.016944458000000003, 4.2, 5.700000000000001E-4
db.m6g.8xlarge, 0.03333336, 8.4, 0.00115
db.m6g.large, 0.0021388906000000003, 0.5199999999999999, 7.2E-5
db.m6g.xlarge, 0.00416667, 1.0, 1.4000000000000001E-4
db.r3.2xlarge, 0.02222224, 5.5, 0.00109
db.r3.4xlarge, 0.04444448, 10.9, 0.00219
db.r3.8xlarge, 0.08888896, 22.0, 0.0044
db.r3.large, 0.00555556, 1.4, 2.7E-4
db.r3.xlarge, 0.01111112, 2.8, 5.5E-4
db.r4.16xlarge, 0.12222232000000001, 29.0, 0.0044
db.r4.2xlarge, 0.015277790000000001, 3.7, 5.5E-4
db.r4.4xlarge, 0.030555580000000002, 7.3, 0.00109
db.r4.8xlarge, 0.061111160000000005, 15.0, 0.00218
db.r4.large, 0.0038888920000000006, 0.9, 1.35E-4
db.r4.xlarge, 0.007777784000000001, 1.9, 2.8000000000000003E-4
db.r5.12xlarge, 0.10555564, 18.0, 0.0018
db.r5.16xlarge, 0.14166678000000002, 24.0, 0.0025
db.r5.24xlarge, 0.21388906000000002, 36.0, 0.0037
db.r5.2xlarge, 0.017777792, 3.0, 3.1E-4
db.r5.4xlarge, 0.03611114000000001, 6.0, 6.1E-4
db.r5.8xlarge, 0.07222228000000001, 12.0, 0.0012300000000000002
db.r5.large, 0.004444448, 0.75, 7.7E-5
db.r5.xlarge, 0.008888896, 1.5, 1.5E-4
db.r6g.12xlarge, 0.07222228000000001, 20.0, 0.0021
db.r6g.16xlarge, 0.09444452000000002, 26.0, 0.0028
db.r6g.2xlarge, 0.011944454, 3.3, 3.5E-4
db.r6g.4xlarge, 0.023888908, 6.5, 7.0E-4
db.r6g.large, 0.0029722246, 0.82, 8.7E-5
db.r6g.xlarge, 0.005833338000000001, 1.6, 1.6999999999999999E-4
db.t2.2xlarge, 0.014444456000000001, 2.5, 4.3E-4
db.t2.large, 0.0036111140000000003, 0.61, 1.06E-4
db.t2.medium, 0.003055558, 0.47, 9.9E-5
db.t2.micro, 0.0015000012000000002, 0.2, 4.7E-5
db.t2.small, 0.0015833346000000002, 0.23, 4.9000000000000005E-5
db.t2.xlarge, 0.007222228000000001, 1.2, 2.1E-4
db.t3.2xlarge, 0.014444456000000001, 1.8, 2.3999999999999998E-4
db.t3.large, 0.0036111140000000003, 0.46, 6.1000000000000005E-5
db.t3.medium, 0.003055558, 0.31, 5.3E-5
db.t3.micro, 0.00277778, 0.2, 4.7E-5
db.t3.small, 0.003055558, 0.24000000000000002, 4.9000000000000005E-5
db.t3.xlarge, 0.007222228000000001, 0.91, 1.2200000000000001E-4
